,元大巴西指數基金,元大美國政府20年期（以上）債券單日正向2倍,元大商品指數期貨基金,元大MSCI中國A股國際通ETF基金,元大美國政府20年期（以上）債券基金,元大標普500單日反向1倍基金,元大華夏中小基金,元大新中國基金-人民幣,元大道瓊白銀ER指數股票型基金,元大新中國基金-新台幣,元大標普高盛原油ER單日反向1倍指數股票型期,元大標普金日傘型期貨信託基金之元大標普高盛黃,元大滬深300單日正向2倍基金,元大10年期以上美元投資級公共事業電能債券E,元大中國平衡基金-新台幣,元大新中國基金-美元,元大標智滬深300基金,元大20年期以上AAA至A級美元公司債券ET,元大大中華豐益平衡基金-人民幣,元大上證50基金,元大台灣50單日反向1倍基金,元大亞太成長基金,元大大中華豐益平衡基金-新台幣,元大全球公用能源效率基金-配息型,元大標普美元ER單日正向2倍指數股票型期貨信,元大10年期以上美元投資級醫療保健債券ETF,元大大中華價值指數基金-人民幣,元大美國政府7至10年期債券基金,元大全球公用能源效率基金-不配息型,元大中國平衡基金-人民幣,元大全球新興市場精選組合基金,元大亞太優質高股息100指數基金-新台幣（I,元大美元貨幣市場基金-新台幣,元大亞太優質高股息100指數基金-新台幣（A,元大大中華價值指數基金-新台幣,元大台商收成基金,元大大中華TMT基金-人民幣,元大新興亞洲基金,元大10年期以上美元投資級銀行債券-ETF-,元大大中華TMT基金-新台幣,元大亞太優質高股息100指數基金-新台幣（B,元大標普美元ER指數股票型期貨信託基金,元大大中華價值指數基金-美元,元大澳幣貨幣市場基金-新台幣,元大20年期以上BBB級美元公司債券ETF基,元大高科技基金,元大新興亞洲美元債券基金-美元（B）配息,元大新興亞洲美元債券基金-美元（A）不配息,元大標普金日傘型期貨信託基金之元大標普日圓E,元大亞太優質高股息100指數基金-美元（B）,元大台灣高股息基金,元大亞洲優選高收益債券基金B類型-（人民幣避,元大新興亞洲美元債券基金-新台幣避險（A）不,元大中國機會債券基金-人民幣（A）不配息,元大中國機會債券基金-人民幣（B）配息,元大亞洲優選高收益債券基金B類型-（美元）,元大亞洲優選高收益債券基金A類型-（美元）,元大卓越基金,元大巴菲特基金,元大亞太優質高股息100指數基金-澳幣（B）,元大新興印尼機會債券基金-人民幣,元大美國政府1至3年期債券ETF基金,元大人民幣貨幣市場基金-人民幣,元大美元貨幣市場基金-美元,元大萬泰貨幣市場基金,元大得利貨幣市場基金,元大得寶貨幣市場基金,元大標普金日傘型期貨信託基金之元大標普日圓E,元大新興亞洲美元債券基金-新台幣（A）不配息,元大澳幣貨幣市場基金-澳幣,元大印度指數基金,元大中國機會債券基金-新台幣,元大亞太政府公債指數基金（A）-不配息型,元大亞太政府公債指數基金（B）-配息型,元大台灣中型100基金,元大新興雙印四年到期債券基金-新台幣（B）配,元大新興雙印四年到期債券基金-新台幣（A）不,元大亞洲優選高收益債券基金A類型-（新台幣）,元大亞洲優選高收益債券基金B類型-（新台幣）,元大新興印尼機會債券基金-新台幣配息,元大新興印尼機會債券基金-新台幣不配息,元大印度基金,元大人民幣貨幣市場基金-新台幣,元大標普美國高息特別股-ETF,元大台灣金融基金,元大新東協平衡基金-新台幣,元大台灣高股息低波動ETF基金,元大中國國債及政策性金融債3至5年期債券ET,元大經貿基金,元大新興雙印四年到期債券基金-美元（B）配息,元大新興雙印四年到期債券基金-美元（A）不配,元大台灣電子科技基金,元大多福基金,元大新興印尼機會債券基金-美金,元大台灣加權股價指數基金,元大台灣卓越50基金,元大新東協平衡基金-美元,元大標普美元ER單日反向1倍指數股票型期貨信,元大摩臺基金,元大標普高盛黃金ER單日反向1倍指數股票型期,元大滬深300單日反向1倍基金,元大全球人工智慧-ETF基金,元大全球ETF穩健組合基金,元大富櫃50基金,元大2001基金,元大歐洲50基金,元大標普高盛原油ER指數股票型期貨信託基金,元大實質多重資產基金人民幣,元大店頭基金,元大全球股票入息基金-美元配息,元大黃金期貨基金,元大全球股票入息基金-新台幣不配息,元大實質多重資產基金美元,元大全球ETF成長組合基金,元大全球不動產證券化基金-人民幣,元大多多基金,元大實質多重資產基金新臺幣,元大全球股票入息基金-新台幣配息,元大新主流基金,元大全球不動產證券化基金-美元,元大全球地產建設入息基金-配息型,元大全球不動產證券化基金（A）-不配息型,元大全球地產建設入息基金-不配息型,元大標普500基金,元大美國政府20年期（以上）債券單日反向1倍,元大全球不動產證券化基金（B）-配息型,元大標普高盛原油ER單日正向2倍指數股票型期,元大全球農業商機基金,元大台灣50單日正向2倍基金,元大日經225基金,元大印尼指數基金,元大標普500單日正向2倍基金
2015/12/21,,,5.1710,,,,,,,,,,,,,,,,,30.8400,19.8900,10.3000,,,,,,,,,,,,,,20.2800,,,,,,,,,,,,,,,22.1100,,,,,,,,,,,,,,,16.0998,11.8714,,,,,,,,24.7100,,,,,,,,,,12.9500,,,,,,,26.1800,,,17.6700,60.6000,,,28.5400,,,,,11.4800,51.4900,,,,7.0400,,,,,,,,,,,,,,,,,,,,18.0300,,,
2015/12/22,,,5.1400,,,,,,,,,,,,,,,,,30.7400,19.9000,10.3200,,5.8800,,,,,7.4500,,,,,,,20.2600,,,,,,,,,,12.0000,,,,,22.0800,,,10.2472,9.9560,,,38.2800,21.6400,,,,10.4449,,14.9650,16.0999,11.8716,,,,,10.6951,,,24.6400,,,,,,,,10.9448,,13.0300,,,,27.4500,,,26.1400,49.6400,,17.6930,60.8200,,,28.6300,,,,14.2300,11.4200,51.3600,,16.0300,,6.9900,,,,,10.2200,,15.3400,,,18.6600,,,,,,,,,,18.0500,,,
2015/12/23,,,5.2250,,,,,10.3500,,10.9000,,,,,,10.2010,,,,30.8400,19.8600,10.3400,,5.9300,,,,,7.5100,,,,,,,20.4700,,9.3500,,,,,,,,11.9400,,,,,22.1700,,,10.2585,9.9669,,,38.3000,21.6400,,,,10.4459,,14.9652,16.1001,11.8717,,,,,10.6819,,,24.7600,,,,,,,,10.9193,,13.1400,,,,27.4500,,,26.1500,49.6800,,17.7350,60.9900,,,28.7200,,,,14.2900,11.3200,51.1300,,16.4100,,6.9400,,,,,10.3200,,15.2700,,,18.6700,,,,,,,,,,18.1200,,,
2015/12/24,,,5.2440,,,19.8900,8.2100,10.3600,,10.8900,,,13.9700,,,10.2140,,,,30.5400,19.7900,10.2700,,5.9100,,,10.0300,,7.4900,,,,,,14.2690,20.4300,,9.3300,,,,,9.8820,,,11.8700,,,,,22.0500,,,10.2644,9.9727,,,38.1800,21.5500,,,,10.4468,,14.9654,16.1003,11.8718,,,,,10.6606,,,24.6800,,,,,,,,10.8924,,13.1900,,,,27.2100,,,26.1300,49.6200,,17.7610,61.1700,,,28.7800,,18.4200,,14.2600,11.1900,50.8800,,16.7600,,6.8500,9.1830,6.8100,9.8400,,10.3000,,15.2200,,9.7500,18.6200,,,,,20.0900,,,,,18.2500,,,20.1400
2015/12/25,,,,,,,8.2400,10.3700,,10.8900,,,14.1900,,,10.2220,,,,,19.6600,10.2500,,5.9000,,,,,7.4800,,,,,,,20.5100,,,,,,,,,,11.9500,,,,,22.1400,,,,,,,38.3900,21.7300,,,,,,14.9655,16.1005,11.8719,,,,,,,,24.8300,,,,,,,,,,13.2200,,,,27.5500,,,26.2900,49.7300,,17.8420,61.4100,,,28.9000,,18.3300,,,11.3000,51.1200,,,,6.9000,,,,,,,15.3100,,,18.7000,,,,,,,,,,18.4700,,,
2015/12/28,3.6820,,,,,19.9200,8.0600,10.2000,,10.6900,,,13.1800,,,10.0240,18.4100,,,29.6500,19.7000,10.2800,,5.9200,,,9.9900,,7.5000,,12.0900,,,,14.1820,20.4800,,9.2900,,,,,9.8160,,,11.9400,,,,,22.0800,,,10.2823,9.9901,,,38.3500,21.6300,,,,10.4508,,14.9660,16.1010,11.8723,,,,,10.6549,,,24.7800,,,,,,,,10.8725,,13.2300,,,,27.4200,,,26.2600,49.7500,,17.8170,61.4400,,,28.9000,,18.9500,,14.2500,11.2900,51.0300,,,,6.8900,9.1670,6.7600,9.8200,,10.2700,9.9500,15.2500,,9.7400,18.6200,9.7750,,11.3600,,20.0500,,8.3700,,,18.4000,,,20.0900
2015/12/29,3.6710,,5.2670,,,19.7000,8.1000,10.2600,,10.7200,,,13.3400,,,10.0530,18.5400,,,29.9500,19.8600,10.2800,,5.9400,,,10.0100,,7.5200,,12.1100,,,,14.1790,20.2800,,9.3000,,,,,9.8100,,,11.8800,,,,,21.9800,,,10.2950,10.0024,,,38.0900,21.5200,,,,10.4519,,14.9662,16.1012,11.8725,,,,,10.6463,,,24.7000,,,,,,,,10.8514,,13.1500,,,,27.3200,,,26.0000,49.5900,,17.6840,60.8100,,,28.6300,,18.8200,,14.2800,11.2600,50.8600,,16.6800,,6.8700,9.2040,6.7500,9.8700,,10.3500,9.9900,15.2000,,9.7800,18.5200,9.7870,,11.3800,,20.2900,,8.3900,,,18.1000,,,20.5800
2015/12/30,3.5600,,5.2180,,,19.9200,8.1600,10.2800,,10.7800,,,12.9900,,,10.0970,18.4400,,,30.0200,19.9300,10.2800,,5.9400,,,9.9400,,7.5300,,12.0400,,,,14.1080,20.1800,,9.2700,,,,,9.7560,,,11.8600,,,,,21.8300,,,10.2805,9.9883,,,38.1000,21.5300,,,,10.4529,,14.9663,16.1013,11.8726,,,,8.7170,10.6518,,,24.5900,,,,,,,,10.8732,,13.0600,,,,27.3800,,,25.9500,49.5300,,17.6560,60.7100,,,28.5700,,19.1200,,14.2600,11.2400,50.8300,,16.3300,,6.8600,9.1460,6.7000,9.8100,,10.3000,9.9700,15.1700,,9.7200,18.5000,9.7880,6.8600,11.3900,8.3900,20.1900,,8.3900,,,17.9600,,,20.2600
2015/12/31,,,5.2350,,,20.0300,8.0500,10.1800,,10.6700,,,13.0400,,14.1200,9.9920,18.3500,,,29.7100,19.8900,10.3200,,5.9500,,,9.9600,,7.5400,2.8100,,,,,14.1480,20.3000,11.2600,9.2900,,11.2800,,,9.7800,,,11.9300,,,,,21.8200,,,10.2808,9.9887,,,38.4300,21.7800,,10.5134,,10.4540,,14.9665,16.1015,11.8727,,,,8.8190,10.6554,,,24.6000,,,,,10.3487,10.3487,10.1000,10.8773,,13.1700,,,,27.5100,,,26.0300,49.9500,10.2610,17.7630,61.2200,,,28.7600,,19.0000,,14.2600,11.3000,51.2100,,16.6600,,6.9200,9.0860,6.7000,9.7500,,10.2600,,15.2900,,9.6700,18.6400,,,,,19.9200,,,,,18.0900,,,19.8200
2016/01/04,3.4170,,5.2160,,,20.4100,7.4900,9.6700,,10.0900,,,11.2800,,13.8000,9.4040,17.2800,,,28.0600,20.3700,10.0500,,5.8400,,,9.7500,,7.4000,2.7600,11.8600,,,,13.7940,19.7300,10.5400,9.0700,,10.5100,,,9.4860,,,11.7500,,,,,21.3100,,,10.2899,9.9975,,,37.6400,21.3000,,10.5198,,10.4583,,14.9671,16.1022,11.8732,,,,8.6520,10.6210,8.9286,8.0159,24.0500,,,,,10.3124,10.3124,9.9900,10.8371,,12.7000,,,,26.9600,,,25.4600,49.0100,10.1728,17.3080,59.3400,,,27.9000,,20.4200,,14.2200,11.1100,50.1800,,16.6600,,6.8300,8.9580,6.7900,9.6600,,10.1500,10.0500,14.9500,,9.5800,18.2300,9.7700,6.8300,11.4300,8.3500,19.7700,,8.4200,,15.4200,17.1600,,7.8510,19.4200
2016/01/05,3.4750,,5.2050,,,20.4100,7.4300,9.6400,,10.0500,,,11.9500,,13.7800,9.3560,17.3600,,,28.2800,20.4900,10.0800,,5.8400,,,9.7300,,7.4000,2.7600,11.8400,,,,13.7390,19.7200,10.4700,9.0700,,10.4300,,,9.4380,,,11.7600,,,,,21.3900,,,10.2941,10.0016,,,37.5200,21.2500,,10.6082,,10.4594,,14.9673,16.1024,11.8734,,,,8.6730,10.6113,8.9480,8.0333,23.9800,,,,,10.3853,10.3853,10.0400,10.8238,,12.6000,,,,26.8300,,,25.3300,48.7100,10.2342,17.2200,59.0100,,,27.7600,,19.8600,,14.2200,11.1300,50.0600,,16.4600,,6.8200,8.9580,6.8100,9.6700,,10.1600,10.1100,14.8800,,9.5900,18.1600,9.8040,6.8700,11.4800,8.4000,19.8300,,8.4600,,15.3900,16.9600,,8.0030,19.4900
2016/01/06,3.4350,,5.1120,,,20.7400,7.5300,9.7700,,10.1600,,,12.0400,,13.8500,9.4040,17.5100,,,28.6400,20.6300,10.1100,,5.8500,,,9.7200,,7.4200,2.7800,11.8300,,,,13.7030,19.4900,10.6000,9.0400,,10.5300,,,9.3630,,,11.5900,,,,,20.9700,,,10.3157,10.0226,,,37.0000,21.1000,,10.6678,,10.4604,,14.9674,16.1025,11.8735,,,,8.6580,10.6099,8.9417,8.0277,23.7100,,,,,10.4217,10.4217,10.0500,10.8032,,12.4600,,,,26.3000,,,24.9400,48.0700,10.2139,17.0210,58.3100,,,27.4300,,19.8800,,14.2600,10.9700,49.2100,,15.8900,,6.7200,8.8610,6.9000,9.6200,,10.1300,10.2300,14.6700,,9.5400,17.8900,9.8430,6.9000,11.5900,8.4400,19.6600,,8.5400,,15.2600,16.6800,,8.1250,19.0500
2016/01/07,3.3340,,5.0840,,,21.3500,6.9700,9.1900,,9.6000,,,10.5200,,13.5400,8.8630,16.0500,,,26.8900,21.0600,9.8600,,5.7900,,,9.4400,,7.3300,2.7100,11.6300,,,,13.3600,19.2300,9.8400,8.8300,,9.8200,,,9.1070,,,11.2500,,,,,20.7600,,,10.2814,9.9892,,,36.0200,20.6400,,10.6470,,10.4615,,14.9676,16.1027,11.8736,,,,8.4470,10.6193,8.9537,8.0384,23.2100,,,,,10.4453,10.4453,9.8100,10.8408,,12.1700,,,,25.5900,,,24.4500,47.1000,10.2135,16.6950,57.3700,,,26.9700,,21.2300,,14.2200,10.5500,47.7300,,15.6500,,6.5000,8.6850,7.0000,9.4500,,10.0100,10.2500,14.3300,,9.3700,17.4400,9.8850,6.8500,11.6700,8.3800,19.2500,,8.6000,,15.1000,16.0200,,7.9700,18.0900
2016/01/08,3.3400,,5.0760,,,21.5900,7.0200,9.2600,,9.6700,,,11.3800,,13.6200,8.9380,16.7900,,,27.4000,20.9100,9.9100,,5.7800,,,9.4800,,7.3200,2.7200,11.5600,,,,13.4100,19.1600,9.9100,8.8500,,9.8800,,,9.1490,,,11.5200,,,,,20.9400,,,10.2905,9.9981,,,36.5400,21.0600,,10.6371,,10.4626,,14.9677,16.1028,11.8737,,,,8.4860,10.6193,8.9202,8.0084,23.4500,,,,,10.4264,10.4264,9.8800,10.8330,,12.2000,,,,26.2800,,,24.6700,47.5300,10.2039,16.8210,57.4800,,,27.0500,,20.3700,,14.1700,10.7000,48.7600,,15.6500,,6.7100,8.6090,6.9400,9.3600,,9.9200,10.1600,14.5700,,9.2800,17.6600,9.7940,6.8000,11.5500,8.3100,19.0400,,8.5100,,15.1100,16.2100,,7.9890,17.6900
2016/01/11,3.2790,,4.9440,,,21.5900,6.7100,8.7500,,9.3200,,,10.1900,,13.5000,8.5720,15.9600,,,26.2500,21.2500,9.8400,,5.7400,,,9.1000,,7.2700,2.6500,11.4500,,,,13.1140,18.8300,9.3100,8.7500,,9.4600,,,8.9070,,,11.3700,,,,,20.4900,,,10.1970,9.9073,,,36.2100,20.8800,,10.5575,,10.4659,,14.9682,16.1033,11.8741,,,,8.4710,10.7276,9.0107,8.0896,23.0000,,,,,10.5497,10.5497,9.8700,11.0473,,11.9200,,,,25.8300,,,24.3600,46.9900,10.2785,16.5980,56.7400,,,26.6500,,21.4900,,14.1800,10.3900,48.0000,,15.0200,,6.6000,8.5980,6.9300,9.3900,,9.9200,,14.4000,,9.3100,17.4900,,,,,19.0900,,,,15.0600,15.6900,,7.9050,17.7600
2016/01/12,3.2750,,4.9170,,,21.5100,6.8000,8.7700,,9.3400,,,10.4500,,13.5100,8.5920,16.1800,,,26.5000,21.3300,9.6700,,5.7400,,,9.0500,,7.2900,2.6500,11.4000,,,,13.0610,18.7800,9.4300,8.7200,,9.6000,,,8.8670,,,11.1300,,,,,20.5500,,,10.1859,9.8774,,,35.7700,20.6300,,10.5322,,10.4670,,14.9683,16.1035,11.8742,,,,8.4150,10.7321,8.9682,8.0264,22.7700,,,,,10.5404,10.5854,9.7900,11.0641,,11.9300,,,,25.3100,,,24.2800,46.6000,10.2434,16.5280,56.8300,,,26.6600,,21.3100,,14.1700,10.0900,47.0000,,14.5800,,6.4100,8.5810,6.8600,9.4100,,9.9400,9.8000,14.1200,,9.3000,17.3000,9.6040,6.7300,11.3800,8.2200,19.2800,,8.3900,,14.9700,15.6100,,8.0420,17.9900
2016/01/13,3.2350,,4.9160,,,21.9300,6.6600,8.5900,,9.1600,,,10.1500,,13.4500,8.4340,15.9200,,,26.0700,21.0600,9.8000,,5.7500,,,9.1200,,7.2900,2.6300,11.4500,,,,13.1670,18.9500,9.2300,8.7500,,9.4000,,,8.9500,,,11.2500,,,,,20.6200,,,10.1702,9.8622,,,36.3000,20.9500,,10.5537,,10.4684,,14.9685,16.1037,11.8743,,,,8.4580,10.7179,8.9974,8.0525,22.9300,,,,,10.5656,10.6107,9.7800,11.0692,,11.9500,,,,25.5700,,,24.4600,47.2100,10.2807,16.6700,57.2300,,,26.8500,,21.5800,,14.1700,10.2200,47.7300,,14.2900,,6.5000,8.4960,6.8700,9.3000,,9.8500,9.8600,14.3300,,9.1900,17.5400,9.6720,6.7400,11.4500,8.2600,18.7400,,8.4300,,15.0200,15.9900,,8.0850,17.1300
2016/01/14,3.3050,,4.9300,,,21.5900,6.8500,8.8400,,9.4000,,,10.4200,,13.4700,8.6300,16.2200,,,26.4300,21.3000,9.7100,,5.7200,,,9.0900,,7.2500,2.6400,11.3900,,,,13.1020,18.8100,9.5800,8.7000,,9.7400,,,8.8750,,,11.0300,,,,,20.5400,,,10.1828,9.8744,,,35.7600,20.6500,,10.6273,,10.4698,,14.9686,16.1038,11.8744,,,,8.4330,10.7135,9.0217,8.0743,22.7100,,,,,10.6219,10.6673,9.7200,11.0528,,11.7400,,,,25.1700,,,24.2000,46.6300,10.2997,16.4810,56.6300,,,26.5700,,21.3300,,14.1800,10.0300,46.8200,,14.6100,,6.3600,8.5240,6.7900,9.3700,,9.9000,9.7700,14.1100,,9.2600,17.3300,9.5380,6.6900,11.3300,8.1900,19.1100,,8.3400,,14.9300,15.6300,,8.0410,17.7700
2016/01/15,3.1980,,4.8410,,,22.0700,6.7200,8.6800,,9.2400,,,9.8400,,13.2600,8.4670,15.8200,,,25.7700,21.4300,9.6800,,5.6900,,,8.9400,,7.2100,2.6000,11.2500,,,,12.8970,18.7400,9.4000,8.6100,,9.5600,,,8.7200,,,11.1100,,,,,20.3900,,,10.1918,9.8831,,,36.0400,20.7100,,10.5669,,10.4711,,14.9688,16.1040,11.8746,,,,8.2850,10.7221,9.0010,8.0558,22.5800,,,,,10.5622,10.6073,9.5400,11.0548,,11.4900,,,,25.2800,,,24.4300,46.8700,10.2236,16.5060,57.0300,,,26.7300,,21.9700,,14.1500,10.1300,47.0800,,13.8900,,6.3800,8.3560,6.9000,9.2000,,9.7800,9.8100,14.1800,,9.0900,17.4400,9.5610,6.6900,11.3800,8.2000,18.7400,,8.3700,,14.7900,15.5000,,7.9830,17.0700
2016/01/18,3.1430,,,,,,6.8000,8.7500,,9.3600,,,9.9900,,13.2300,8.5680,15.7700,,,25.7900,21.0200,9.6100,,5.6700,,,8.8000,,7.2000,2.5800,11.1900,,,,12.7550,18.8300,9.5200,8.5600,,9.7300,,,8.6190,,,11.3200,,,,,20.6700,,,10.1482,9.8409,,,36.6500,21.2900,,10.5324,,10.4753,,14.9692,16.1044,11.8749,,,,8.1860,10.7264,9.0258,8.0780,23.0600,,,,,10.5772,10.6224,9.3800,11.1111,,11.4900,,,,25.8700,,,24.6000,47.2800,10.2333,16.6460,56.9400,,,26.7700,,21.8100,,,10.4600,47.9000,,13.9000,,6.5500,,,,,,9.6500,14.4300,,,17.6800,9.4450,6.6300,11.2400,8.1200,,,8.2700,,,15.9700,,7.9410,
2016/01/19,3.1520,,4.8530,,,22.1100,6.9200,8.9600,,9.5700,,,10.6700,,13.3700,8.7640,16.3700,,,26.5300,20.8900,9.6800,,5.7400,,,8.9500,,7.2800,2.6100,11.2700,,,,12.9500,18.9100,9.7300,8.7000,,9.9300,,,8.7500,,,11.5000,,,,,20.6700,,,10.1446,9.8374,,,37.0500,21.4600,,10.5730,,10.4767,,14.9694,16.1046,11.8751,,,,8.2760,10.7130,9.0453,8.0954,23.2000,,,,,10.6085,10.6538,9.4700,11.1025,,11.5400,,,,26.1700,,,24.7800,47.8600,10.2630,16.7430,57.2400,,,26.9200,,21.0600,,14.1200,10.5800,48.6600,,13.6500,,6.6600,8.3190,6.8800,9.1600,,9.7700,9.6300,14.6400,,9.0500,17.8700,9.4200,6.6300,11.2100,8.1300,18.7500,,8.2500,,14.7500,16.1400,,8.0320,17.0500
2016/01/20,3.0920,,4.7770,,,22.3800,6.8200,8.8200,,9.4100,,,10.0200,,13.2000,8.6170,16.0500,,,26.1400,21.5500,9.3600,,5.6300,,,8.6800,,7.1500,2.5800,11.1000,,,,12.5420,18.4900,9.5500,8.4500,,9.7300,,,8.4740,,,11.1700,,,,,20.3900,,,10.1497,9.8423,,,36.1100,20.9300,,10.5738,,10.4781,,14.9695,16.1048,11.8752,,,,8.1170,10.7003,9.0317,8.0833,22.7400,,,,,10.5914,10.6366,9.3000,11.0852,,11.2600,,,,25.5900,,,24.1700,46.9900,10.2446,16.3630,55.9800,,,26.3000,,21.8000,,14.0200,10.2000,47.3700,,13.4000,,6.4500,8.1370,7.0000,8.9600,,9.6200,9.4500,14.2800,,8.8600,17.4500,9.2210,6.5100,10.9800,7.9800,18.6000,,8.0800,,14.4900,15.1900,,7.8510,16.7600
2016/01/21,3.0530,,4.8620,,,22.3500,6.6600,8.6000,,9.1800,,,9.7000,,12.9700,8.4010,15.6500,,,25.6200,21.4900,9.2500,,5.6100,,,8.5300,,7.1100,2.5400,11.0500,,,,12.3390,18.4100,9.2500,8.4000,,9.4200,,,8.3330,,,11.1900,,,,,20.2300,,,10.1512,9.8438,,,36.1100,20.8000,,10.6429,,10.4796,,14.9697,16.1049,11.8753,,,,8.0740,10.7055,9.0698,8.1173,22.6000,,,,,10.6643,10.7098,9.3100,11.0891,,11.1000,,,,25.6300,,,24.2100,47.0900,10.3114,16.3260,55.7300,,,26.1800,,22.1900,,13.9900,10.1800,47.4700,,13.7900,,6.4800,8.1740,6.9400,9.0100,,9.6400,9.2200,14.2600,,8.9000,17.4700,9.0040,6.4300,10.7200,7.8700,18.7400,,7.8900,,14.4700,15.2300,,7.8830,16.9000
2016/01/22,3.1180,,4.9870,,,21.7700,6.6800,8.7000,,9.2300,,,9.9300,,13.0400,8.4810,15.7600,,,25.6600,21.1100,9.4600,,5.6700,,,8.7700,,7.1900,2.5600,11.1800,,,,12.6130,18.6800,9.3900,8.5500,,9.5100,,,8.5520,,,11.3300,,,,,20.4100,,,10.1582,9.8506,,,36.3700,21.0500,,10.7287,,10.4809,,14.9698,16.1051,11.8754,,,,8.2160,10.6584,9.0871,8.1328,22.8000,,,,,10.6954,10.7411,9.4700,11.0341,,11.1700,,,,25.8800,,,24.6400,47.2600,10.3824,16.5410,56.6200,,,26.5700,,21.7900,,14.0800,10.2000,47.9000,,14.8400,,6.5400,8.3810,6.9300,9.2000,,9.7800,9.6000,14.4100,,9.0900,17.5900,9.3580,6.5400,11.1000,8.0100,18.9800,,8.1700,,14.7300,15.7700,,7.9970,17.5000
2016/01/25,,,4.9130,,,22.1200,6.6400,8.7000,,9.2100,,,9.9900,,13.1000,8.4820,15.8300,,,25.7300,20.8700,9.4900,,5.6800,,,8.8800,,7.2100,2.5800,11.2300,,,,12.7450,19.0800,9.4200,8.5700,,9.5300,,,8.6630,,,11.5800,,,,,20.8200,,,10.1496,9.8422,,,37.1500,21.5500,,10.6764,,10.4851,,14.9703,16.1055,11.8758,,,,8.1990,10.6256,9.0458,8.0959,23.2200,,,,,10.6196,10.6649,9.4300,11.0137,,11.5100,,,,26.3900,,,25.0200,48.0500,10.3342,16.8110,57.6400,,,27.0500,,21.7300,,14.0600,10.4200,48.9100,,14.4000,,6.7000,8.3200,6.9800,9.1100,,9.6900,9.6500,14.7200,,9.0000,17.9100,9.4130,6.5400,11.1400,8.0100,18.7000,,8.2000,,14.6000,16.1600,,8.0250,16.9700
2016/01/26,3.1140,,4.9890,,,21.8400,6.3600,8.3900,,8.9100,,,9.1500,,12.8500,8.1780,15.0100,,,24.3800,21.0200,9.4300,,5.6900,,,8.6900,,7.2200,2.5300,11.2500,,,,12.5120,18.8700,8.9400,8.4900,,9.0700,,,8.4770,,,11.6200,,,,,20.7400,,,10.1382,9.8312,,,37.1000,21.4700,,10.6778,,10.4864,,14.9704,16.1057,11.8759,,,,,10.6423,9.0948,8.1397,23.0700,,,,,10.6499,10.6954,,11.0452,,11.3400,,,,26.5600,,,24.8400,48.0200,10.3320,16.6760,57.0300,,,26.7800,,22.6600,,14.1300,10.4500,49.2200,,14.7900,,6.7800,8.3980,7.0800,9.2200,,9.7800,9.6300,14.8100,,9.1100,18.0000,9.3870,6.5700,11.1400,8.0500,19.0000,,8.2000,,14.6400,15.9100,,8.0500,17.4600
2016/01/27,3.1480,,5.0680,,,22.0800,6.3700,8.4200,,8.9300,,,9.1100,,12.8100,8.1990,14.8800,,,24.3900,20.8600,9.5400,,5.7200,,,8.7600,,7.2500,2.5200,11.2500,,,,12.5950,18.9600,9.0000,8.4900,,9.1200,,,8.5370,,,11.6200,,,,,20.8300,,,10.1411,9.8340,,,37.0600,21.4700,,10.6422,,10.4877,,14.9706,16.1059,11.8760,,,,8.1780,10.6303,9.0735,8.1207,23.1200,,,,,10.5995,10.6447,9.4000,11.0310,,11.3400,,,,26.8100,,,24.9800,48.1300,10.2877,16.7380,57.2900,,,26.9100,,22.6900,,14.1600,10.4200,49.2200,,15.1300,,6.8000,8.3960,7.0500,9.2200,,9.7700,9.8200,14.8500,,9.1100,18.0800,9.5620,6.6100,11.3500,8.1000,18.7800,,8.3500,,14.7400,16.1300,,8.1060,17.0700
2016/01/28,3.1960,,5.0700,,,22.0100,6.2700,8.2500,,8.7700,,,9.1000,,12.7400,8.0460,14.5800,,,23.9100,20.8000,9.5800,,5.7500,,,8.8300,,7.2900,2.5000,11.3000,,,,12.7140,19.1000,8.7700,8.5500,,8.9000,,,8.6090,,,11.7300,,,,,21.0800,,,10.1445,9.8373,,,37.4900,21.7000,,10.7167,,10.4890,,14.9707,16.1060,11.8761,,,,8.1920,10.6497,9.1207,8.1629,23.4400,,,,,10.6894,10.7351,9.4000,11.0486,,11.4300,,,,26.9400,,,25.1100,48.6600,10.3649,16.8410,57.6500,,,27.1100,,22.7300,,14.1700,10.6000,49.7800,,15.4800,,6.8900,8.4230,7.0500,9.2600,,9.7800,9.6900,14.9900,,9.1500,18.2200,9.4390,6.5600,11.2100,8.0400,18.8800,,8.2500,,14.9000,16.2400,,8.2040,17.1700
2016/01/29,3.3720,,5.1250,,,21.3200,6.3900,8.4200,,8.9400,,,9.4200,,12.8900,8.2350,14.8400,,,24.4300,20.2800,9.6400,,5.7900,,,9.0600,,7.3500,2.5400,11.4000,,,,13.0180,19.6100,9.0400,8.6800,,9.1600,,,8.8520,,,11.8900,,,,,21.4700,,,10.1316,9.8248,,,38.0500,21.9900,,10.8511,,10.4902,,14.9709,16.1062,11.8763,,,,8.3490,10.6236,9.1507,8.1897,23.9800,,,,,10.8108,10.8569,9.5300,11.0369,,11.9000,,,,27.2100,,,25.6200,49.3900,10.5271,17.2340,59.1700,,,27.8300,,22.1500,,14.2400,10.7900,50.3300,,15.8900,,6.9700,8.5920,7.0500,9.4000,,9.9000,10.2200,15.2300,,9.2900,18.4500,9.9850,6.7400,11.8100,8.2600,19.2000,,8.6900,,15.1700,17.0600,,8.3060,17.9700
