,元大巴西指數基金,元大商品指數期貨基金,元大標普500單日反向1倍基金,元大華夏中小基金,元大新中國基金-人民幣,元大新中國基金-新台幣,元大滬深300單日正向2倍基金,元大中國平衡基金-新台幣,元大新中國基金-美元,元大標智滬深300基金,元大上證50基金,元大台灣50單日反向1倍基金,元大亞太成長基金,元大全球公用能源效率基金-配息型,元大大中華價值指數基金-人民幣,元大全球公用能源效率基金-不配息型,元大中國平衡基金-人民幣,元大全球新興市場精選組合基金,元大美元貨幣市場基金-新台幣,元大大中華價值指數基金-新台幣,元大台商收成基金,元大大中華TMT基金-人民幣,元大新興亞洲基金,元大大中華TMT基金-新台幣,元大大中華價值指數基金-美元,元大高科技基金,元大台灣高股息基金,元大中國機會債券基金-人民幣（A）不配息,元大中國機會債券基金-人民幣（B）配息,元大卓越基金,元大巴菲特基金,元大新興印尼機會債券基金-人民幣,元大人民幣貨幣市場基金-人民幣,元大美元貨幣市場基金-美元,元大萬泰貨幣市場基金,元大得利貨幣市場基金,元大得寶貨幣市場基金,元大印度指數基金,元大中國機會債券基金-新台幣,元大亞太政府公債指數基金（A）-不配息型,元大亞太政府公債指數基金（B）-配息型,元大台灣中型100基金,元大新興印尼機會債券基金-新台幣配息,元大新興印尼機會債券基金-新台幣不配息,元大印度基金,元大人民幣貨幣市場基金-新台幣,元大台灣金融基金,元大經貿基金,元大台灣電子科技基金,元大多福基金,元大新興印尼機會債券基金-美金,元大台灣加權股價指數基金,元大台灣卓越50基金,元大摩臺基金,元大滬深300單日反向1倍基金,元大全球ETF穩健組合基金,元大富櫃50基金,元大2001基金,元大標普高盛原油ER指數股票型期貨信託基金,元大店頭基金,元大全球股票入息基金-美元配息,元大黃金期貨基金,元大全球股票入息基金-新台幣不配息,元大全球ETF成長組合基金,元大全球不動產證券化基金-人民幣,元大多多基金,元大全球股票入息基金-新台幣配息,元大新主流基金,元大全球不動產證券化基金-美元,元大全球地產建設入息基金-配息型,元大全球不動產證券化基金（A）-不配息型,元大全球地產建設入息基金-不配息型,元大標普500基金,元大全球不動產證券化基金（B）-配息型,元大全球農業商機基金,元大台灣50單日正向2倍基金,元大印尼指數基金,元大標普500單日正向2倍基金
2016-04-01,4.417,4.984,19.43,6.57,9.04,9.41,11.14,13.36,9.002,16.39,26.38,18.75,9.47,5.86,9.63,7.45,2.68,11.92,9.8273,13.586,20.61,9.55,8.89,9.5,9.585,12.35,22.18,10.2506,9.9058,40.33,23.4,11.3309,10.5626,10.0012,14.9803,16.1166,11.8839,8.343,10.5616,9.4362,8.3996,24.8,11.0843,11.2123,9.44,10.9034,12.7,29.16,27.43,50.49,11.1994,18.399,63.95,29.85,19.17,14.25,11.47,52.79,15.59,7.53,9.015,7.64,9.57,9.95,10.3,16.02,9.4,19.72,10.26,6.92,11.69,8.5,19.87,8.58,15.69,19.86,8.731,20.14
2016-04-06,4.126,4.998,19.51,6.75,9.24,9.64,11.25,13.44,9.198,16.53,26.48,19.12,9.39,5.85,9.5,7.44,2.69,11.82,9.847,13.413,20.38,9.79,8.83,9.75,9.444,12.4,22.03,10.2657,9.9203,40.22,23.44,11.3356,10.5677,10.0015,14.981,16.1173,11.8844,8.242,10.5815,9.4454,8.4078,24.64,11.0936,11.2216,9.34,10.9122,12.46,29.07,26.91,50.11,11.1866,18.082,62.52,29.2,19.17,14.25,11.39,53.0,15.74,7.5,8.967,7.65,9.54,9.93,10.26,15.87,9.37,19.67,10.202,6.88,11.65,8.45,19.93,8.55,15.42,18.99,8.739,20.13
2016-04-07,4.1,4.973,19.74,6.7,9.19,9.57,10.94,13.42,9.141,16.28,26.11,19.17,9.47,5.83,9.52,7.41,2.69,11.79,9.8349,13.41,20.2,9.69,8.8,9.62,9.455,12.31,22.04,10.2791,9.9333,39.9,23.25,11.3471,10.5687,10.0015,14.9811,16.1174,11.8845,8.131,10.5759,9.3934,8.3615,24.5,11.0845,11.2124,9.22,10.8932,12.37,29.01,26.91,49.93,11.1912,18.044,62.41,29.13,19.37,14.23,11.31,52.82,15.5,7.48,8.907,7.74,9.46,9.86,10.33,15.81,9.29,19.61,10.268,6.9,11.71,8.47,19.65,8.59,15.36,18.9,8.732,19.61
2016-04-08,4.362,5.111,19.69,6.69,9.14,9.53,11.03,13.41,9.097,16.26,25.97,19.06,9.55,5.89,9.56,7.48,2.68,11.86,9.8495,13.506,20.29,9.59,8.86,9.55,9.508,12.44,21.9,10.2749,9.9292,40.3,23.52,11.4347,10.5696,10.0016,14.9812,16.1176,11.8846,8.173,10.598,9.452,8.4137,24.51,11.1979,11.3272,9.28,10.9214,12.4,29.13,27.11,50.04,11.289,18.149,62.97,29.36,19.36,14.29,11.38,53.41,16.37,7.56,8.969,7.77,9.54,9.93,10.37,15.94,9.37,19.82,10.316,6.95,11.78,8.53,19.74,8.65,15.52,19.19,8.732,19.75
2016-04-11,4.457,5.117,19.74,6.75,9.23,9.63,11.17,13.57,9.205,16.52,26.23,18.99,9.69,5.88,9.61,7.47,2.72,11.89,9.8308,13.568,20.38,9.7,8.9,9.66,9.57,12.38,21.91,10.2753,9.9296,40.17,23.43,11.4627,10.5725,10.0017,14.9816,16.118,11.8849,8.295,10.5937,9.4733,8.4326,24.61,11.2206,11.3501,9.38,10.9197,12.4,28.92,27.21,50.16,11.3335,18.177,63.2,29.48,19.19,14.27,11.38,53.08,16.68,7.51,8.971,7.85,9.53,9.93,10.39,15.88,9.35,19.8,10.348,6.93,11.79,8.51,19.66,8.66,15.49,19.33,8.577,19.6
2016-04-12,4.608,5.212,19.53,6.7,9.18,9.57,11.15,13.56,9.154,16.46,26.19,19.03,9.69,5.9,9.64,7.5,2.72,11.92,9.8291,13.608,20.32,9.67,8.93,9.61,9.6,12.17,21.96,10.2826,9.9366,39.39,22.97,11.5144,10.5735,10.0018,14.9817,16.1181,11.885,8.357,10.5932,9.5041,8.4601,24.51,11.2626,11.3926,9.45,10.9124,12.41,28.27,27.05,49.96,11.3781,18.082,63.08,29.42,19.24,14.29,11.15,52.34,17.22,7.34,9.044,7.86,9.6,9.98,10.42,15.62,9.43,19.5,10.376,6.98,11.82,8.57,19.83,8.68,15.54,19.28,8.66,20.0
2016-04-13,4.683,5.225,19.33,6.71,9.27,9.63,11.55,13.76,9.221,16.67,26.5,18.72,9.88,5.89,9.91,7.49,2.77,12.01,9.8191,13.942,20.68,9.74,9.07,9.66,9.845,12.34,22.16,10.2848,9.9218,40.18,23.46,11.4689,10.5744,10.0018,14.9819,16.1183,11.8851,8.441,10.5665,9.4703,8.4049,24.79,11.1864,11.3611,9.53,10.8835,12.57,28.93,27.46,50.36,11.3128,18.338,64.13,29.89,18.87,14.32,11.25,53.1,17.12,7.47,9.101,7.79,9.68,10.04,10.47,15.88,9.48,19.79,10.413,7.0,11.85,8.62,20.01,8.68,15.7,19.92,8.641,20.37
2016-04-14,4.653,5.2,19.34,6.77,9.32,9.7,11.47,13.84,9.263,16.8,26.56,18.66,10.06,5.92,9.94,7.53,2.78,12.09,9.8457,14.015,20.7,9.82,9.11,9.75,9.871,12.32,22.29,10.2888,9.9256,40.23,23.52,11.4677,10.5753,10.002,14.982,16.1184,11.8851,,10.5862,9.4608,8.3966,24.86,11.2017,11.3766,,10.9005,12.59,29.08,27.45,50.54,11.2982,18.371,64.22,29.92,18.96,14.37,11.27,53.3,16.95,7.49,9.119,7.65,9.73,10.08,10.62,15.95,9.52,19.85,10.544,7.08,12.03,8.72,20.07,8.81,15.72,20.01,8.574,20.43
2016-04-15,4.645,5.161,19.34,6.74,9.28,9.65,11.47,13.8,9.236,16.66,26.54,18.54,9.97,5.92,9.95,7.53,2.77,12.06,9.8188,13.997,20.88,9.77,9.05,9.69,9.885,12.38,22.34,10.291,9.9278,40.26,23.62,11.4646,10.5762,10.002,14.9821,16.1186,11.8852,,10.5623,9.4544,8.3908,24.97,11.181,11.3556,,10.8843,12.67,29.07,27.46,50.72,11.308,18.428,64.38,29.99,18.91,14.35,11.23,53.45,16.61,7.49,9.116,7.7,9.7,10.05,10.6,16.02,9.49,19.87,10.543,7.06,12.0,8.69,20.0,8.79,15.7,20.18,8.614,20.35
2016-04-18,4.527,5.174,19.24,6.74,9.25,9.63,11.26,13.72,9.202,16.56,26.33,18.7,9.85,5.95,9.88,7.57,2.75,12.08,9.8354,13.918,20.79,9.68,9.06,9.62,9.813,12.38,22.21,10.2969,9.9335,39.98,23.58,11.5286,10.579,10.0022,14.9825,16.119,11.8855,8.557,10.5862,9.5051,8.4359,24.86,11.2623,11.4382,9.67,10.9054,12.65,29.09,27.31,50.67,11.3713,18.334,64.08,29.85,19.13,14.36,11.25,53.22,16.51,7.48,9.121,7.71,9.72,10.07,10.43,15.99,9.52,19.74,10.371,7.0,11.83,8.62,20.17,8.66,15.66,19.87,8.782,20.61
2016-04-19,4.667,5.249,19.14,6.75,9.27,9.63,11.3,13.76,9.243,16.54,26.27,18.75,10.06,5.97,9.93,7.6,2.77,12.11,9.7937,13.974,20.59,9.7,9.13,9.62,9.894,12.38,22.15,10.2958,9.9324,39.9,23.53,11.4959,10.5799,10.0023,14.9826,16.1191,11.8856,,10.567,9.5221,8.451,24.79,11.2113,11.3863,,10.8878,12.6,29.11,27.13,50.83,11.3678,18.268,63.71,29.67,18.99,14.39,11.24,53.26,16.89,7.46,9.247,7.82,9.81,10.11,10.52,16.03,9.61,19.76,10.489,7.05,11.91,8.69,20.11,8.72,15.95,19.71,8.765,20.65
2016-04-20,4.665,5.374,19.1,6.56,9.05,9.38,10.95,13.53,9.003,16.26,26.18,19.08,9.98,5.92,9.86,7.54,2.73,12.08,9.7886,13.834,20.31,9.39,9.1,9.29,9.8,12.15,21.8,10.2955,9.9321,39.36,23.21,11.4597,10.5808,10.0023,14.9827,16.1192,11.8857,8.534,10.5395,9.4775,8.4113,24.48,11.1472,11.3212,9.63,10.8607,12.49,28.66,26.7,50.47,11.3088,18.005,62.73,29.23,19.39,14.36,11.16,52.52,17.47,7.38,9.238,7.82,9.8,10.09,10.48,15.84,9.59,19.49,10.426,7.03,11.83,8.65,20.15,8.66,16.0,19.03,8.726,20.76
2016-04-21,,5.329,19.25,6.5,9.01,9.34,11.08,13.55,8.959,16.13,26.12,18.88,10.15,5.91,9.99,7.52,2.73,12.08,9.8032,14.028,20.43,9.24,9.15,9.15,9.923,12.27,21.79,10.2827,9.9198,39.61,23.45,11.4553,10.5817,10.0024,14.9829,16.1194,11.8858,8.489,10.533,9.429,8.3683,24.55,11.1498,11.3239,9.59,10.8684,12.53,28.86,26.95,50.66,11.2947,18.122,63.31,29.48,19.35,14.38,11.26,52.93,17.14,7.45,9.196,7.8,9.77,10.1,10.63,15.97,9.56,19.55,10.569,7.07,12.01,8.71,20.08,8.8,16.02,19.42,8.78,20.48
2016-04-22,4.572,5.309,19.23,6.62,9.12,9.44,11.29,13.56,9.04,16.17,26.23,18.95,10.09,5.89,9.95,7.5,2.74,12.03,9.8137,13.942,20.37,9.42,9.08,9.31,9.851,12.13,21.7,10.2812,9.9184,39.22,23.24,11.4058,10.5827,10.0025,14.983,16.1195,11.8859,8.458,10.513,9.3972,8.3401,24.41,11.0823,11.2553,9.57,10.8503,12.56,28.67,26.81,50.32,11.2145,18.04,63.21,29.43,19.23,14.36,11.12,52.21,17.38,7.37,9.177,7.67,9.76,10.06,10.7,15.77,9.55,19.32,10.605,7.07,12.07,8.71,20.11,8.83,15.98,19.37,8.782,20.57
2016-04-25,4.507,5.283,19.25,6.61,9.08,9.41,11.11,13.56,9.004,16.06,26.08,18.89,9.99,5.9,9.88,7.51,2.73,12.0,9.8235,13.862,20.35,9.39,9.01,9.29,9.786,12.22,21.97,10.2835,9.9206,39.4,23.41,11.3827,10.5854,10.0028,14.9833,16.1199,11.8861,8.412,10.5246,9.3969,8.3398,24.56,11.0698,11.2426,9.53,10.8629,12.62,28.59,26.86,50.2,11.1911,18.104,63.37,29.52,19.41,14.37,11.22,52.22,17.15,7.32,9.169,7.74,9.76,10.08,10.77,15.75,9.55,19.35,10.67,7.11,12.15,8.76,20.08,8.9,15.91,19.48,8.728,20.52
2016-04-26,4.643,5.355,19.2,6.64,9.13,9.47,11.29,13.6,9.06,16.24,26.2,18.79,9.85,5.9,9.89,7.51,2.74,12.01,9.8241,13.881,20.38,9.46,9.02,9.36,9.799,12.29,21.97,10.2858,9.9227,39.55,23.46,11.4136,10.5863,10.0029,14.9835,16.12,11.8862,8.53,10.5332,9.4087,8.3503,24.64,11.1065,11.2799,9.66,10.8704,12.68,28.75,26.97,50.21,11.2275,18.154,63.53,29.6,19.23,14.37,11.25,52.52,17.57,7.37,9.226,7.75,9.82,10.1,10.67,15.81,9.61,19.41,10.579,7.08,12.05,8.72,20.1,8.82,15.99,19.64,8.595,20.61
2016-04-27,4.756,5.405,19.18,6.67,9.1,9.43,11.21,13.5,9.024,16.16,26.07,18.81,9.87,5.9,9.88,7.51,2.72,12.0,9.8203,13.862,20.31,9.49,9.01,9.39,9.791,12.21,21.88,10.2864,9.9234,39.5,23.53,11.4164,10.5873,10.0029,14.9836,16.1201,11.8863,8.566,10.5256,9.3841,8.3285,24.56,11.1005,11.2738,9.67,10.8627,12.65,28.59,26.84,50.14,11.2277,18.108,63.35,29.51,19.29,14.39,11.12,52.23,18.02,7.3,9.226,7.8,9.81,10.1,10.63,15.79,9.61,19.32,10.534,7.08,11.99,8.72,20.14,8.78,16.01,19.57,8.587,20.66
2016-04-28,4.778,5.426,19.34,6.71,9.1,9.44,11.08,13.47,9.054,16.06,26.04,19.13,9.6,5.9,9.85,7.51,2.71,11.99,9.8004,13.829,20.11,9.52,8.96,9.42,9.787,12.1,21.72,10.2863,9.9233,39.32,23.45,11.3709,10.5882,10.003,14.9837,16.1203,11.8864,8.399,10.5377,9.4125,8.3537,24.34,11.069,11.2418,9.53,10.8763,12.5,28.48,26.45,50.01,11.2187,17.909,62.47,29.1,19.37,14.38,11.1,52.05,18.21,7.28,9.171,7.9,9.74,10.06,10.44,15.69,9.53,19.26,10.384,6.97,11.8,8.59,19.94,8.64,16.06,18.92,8.544,20.28
2016-04-29,4.814,5.463,19.46,6.72,9.08,9.41,11.01,13.43,9.026,16.04,25.92,19.37,9.6,5.91,9.73,7.52,2.71,11.96,9.8013,13.654,19.81,9.52,8.88,9.42,9.663,11.87,21.51,10.29,9.9268,38.7,23.04,11.327,10.589,10.003,14.9838,16.1204,11.8865,8.384,10.5362,9.3858,8.33,24.11,11.0209,11.193,9.53,10.872,12.52,28.19,26.1,49.56,11.1693,17.716,61.68,28.74,19.4,14.38,10.99,51.27,18.11,7.18,9.097,8.05,9.66,10.05,,15.47,9.46,18.93,,,,,19.81,,16.1,18.43,8.501,20.0
2016-05-03,4.515,5.327,19.47,6.84,9.25,9.54,11.21,13.44,9.173,16.11,26.17,19.48,9.36,5.89,9.62,7.49,2.72,11.79,9.7784,13.431,19.54,9.73,8.72,9.58,9.528,11.83,21.21,10.3012,9.9376,38.38,22.84,11.3153,10.5925,10.0033,14.9843,16.1209,11.8868,8.281,10.4952,9.3024,8.2559,23.9,10.9547,11.1258,9.48,10.8215,12.5,28.21,25.77,49.37,11.1284,17.549,60.88,28.38,19.18,14.29,10.95,51.04,17.37,7.18,9.013,8.07,9.55,9.94,,15.42,9.35,18.8,,,,,19.74,,15.85,18.09,8.394,19.92
2016-05-04,4.569,5.32,19.58,6.83,9.24,9.56,11.24,13.44,9.147,16.25,26.12,19.67,9.38,5.89,9.56,7.5,2.71,11.72,9.8245,13.383,19.17,9.73,8.68,9.61,9.45,11.65,20.91,10.3081,9.9443,37.88,22.48,11.244,10.5934,10.0035,14.9844,16.1211,11.8869,8.271,10.5303,9.2918,8.2466,23.53,10.9146,11.085,9.45,10.8511,12.37,27.98,25.55,49.12,11.0359,17.345,60.09,28.02,19.24,14.33,10.84,50.64,17.34,7.12,8.935,7.96,9.51,9.93,,15.26,9.31,18.61,,,,,19.7,,15.85,17.71,8.387,19.78
2016-05-05,4.516,5.305,19.62,6.87,9.24,9.56,11.22,13.44,9.14,16.2,26.14,19.75,9.39,5.88,9.52,7.49,2.71,11.73,9.8311,13.333,19.02,9.76,8.68,9.63,9.408,11.79,20.79,10.3078,9.944,37.98,22.62,,10.5942,10.0036,14.9845,16.1212,11.887,8.312,10.5333,9.3022,8.2558,23.4,,,9.48,10.8553,12.27,28.42,25.49,49.1,,17.3,59.92,27.91,19.28,14.34,10.91,51.29,17.5,7.18,8.887,7.94,9.46,9.92,,15.41,9.26,18.67,,,,,19.74,,15.71,17.57,,19.75
2016-05-06,4.562,5.345,19.54,6.72,8.99,9.32,10.64,13.28,8.903,15.82,25.6,19.85,9.35,5.87,9.37,7.48,2.68,11.7,9.8418,13.15,18.91,9.49,8.65,9.39,9.269,11.7,20.67,10.3155,9.9514,38.11,22.67,,10.595,10.0037,14.9846,16.1213,11.8871,8.319,10.5572,9.3119,8.2644,23.28,,,9.5,10.8727,12.16,28.24,25.38,49.1,,17.257,59.73,27.8,19.86,14.35,10.73,51.43,17.69,7.1,8.898,8.07,9.48,9.95,10.34,15.35,9.29,18.65,10.235,6.86,11.67,8.45,19.82,8.55,15.8,17.38,,19.93
2016-05-09,4.49,5.271,19.53,6.68,8.83,9.12,10.31,13.1,8.712,15.57,25.2,19.83,9.39,5.86,9.4,7.45,2.65,11.63,9.8435,13.139,18.89,9.42,8.62,9.28,9.26,11.44,20.76,10.3326,9.9679,37.71,22.33,11.2619,10.5975,10.0039,14.985,16.1217,11.8873,8.423,10.5376,9.2605,8.2188,23.19,10.9136,11.084,9.6,10.837,12.12,27.51,25.39,48.83,11.0141,17.235,59.69,27.78,20.2,14.35,10.54,50.77,17.22,6.98,8.903,7.91,9.49,9.94,10.46,15.15,9.29,18.4,10.313,6.9,11.76,8.5,19.86,8.61,15.71,17.41,8.269,19.98
2016-05-10,4.729,5.365,19.31,6.68,8.85,9.17,10.54,13.14,8.73,15.58,25.24,19.74,9.52,5.89,9.42,7.49,2.65,11.72,9.8789,13.225,19.04,9.4,8.7,9.31,9.288,11.53,20.78,10.3328,9.9681,37.96,22.51,11.3155,10.5983,10.004,14.9851,16.1218,11.8874,8.491,10.5818,9.3432,8.2922,23.25,11.0113,11.1832,9.65,10.8831,12.17,27.58,25.53,48.81,11.0731,17.291,59.9,27.89,20.01,14.44,10.54,50.89,17.79,7.0,8.979,7.89,9.61,10.05,10.49,15.23,9.41,18.38,10.345,7.01,11.84,8.63,20.15,8.67,15.97,17.56,8.424,20.46
2016-05-11,4.733,5.461,19.5,6.69,8.81,9.15,10.43,13.27,8.707,15.55,25.33,19.8,9.56,5.89,9.35,7.51,2.67,11.77,9.8775,13.14,18.91,9.35,8.74,9.27,9.23,11.49,20.8,10.3451,9.9619,38.04,22.51,11.323,10.5992,10.0041,14.9852,16.1219,11.8875,8.459,10.6069,9.3774,8.3025,23.1,11.0316,11.2039,9.66,10.8968,12.08,27.54,25.48,48.87,11.0952,17.251,59.84,27.83,20.12,14.45,10.52,50.8,18.38,6.97,8.908,7.95,9.56,10.02,10.44,15.21,9.33,18.39,10.309,6.94,11.8,8.55,19.99,8.64,15.96,17.46,8.503,20.1
2016-05-12,4.732,5.492,19.49,6.75,8.82,9.13,10.57,13.25,8.684,15.6,25.42,19.9,9.57,5.91,9.36,7.52,2.67,11.74,9.8818,13.112,18.82,9.46,8.7,9.35,9.206,11.28,20.72,10.3509,9.9676,37.77,22.33,11.3454,10.6,10.0042,14.9853,16.122,11.8876,8.497,10.5823,9.362,8.2889,22.92,11.0216,11.1937,9.68,10.8662,12.07,26.93,25.34,48.7,11.0804,17.172,59.73,27.76,19.99,14.44,10.25,49.9,18.54,6.74,8.855,7.93,9.51,9.99,10.48,15.04,9.28,18.22,10.318,6.88,11.82,8.47,19.97,8.65,16.13,17.31,8.478,20.1
2016-05-13,4.555,5.493,19.65,6.74,8.73,9.05,10.52,13.21,8.594,15.58,25.35,20.05,9.55,5.89,9.24,7.5,2.66,11.7,9.9074,12.978,18.79,9.46,8.63,9.36,9.089,11.35,20.63,10.352,9.9686,37.8,22.38,11.3088,10.6008,10.0044,14.9854,16.1222,11.8877,8.395,10.6009,9.3635,8.2902,22.78,11.0126,11.2302,9.59,10.885,12.02,27.15,25.19,48.61,11.043,17.064,59.34,27.58,20.12,14.46,10.36,49.93,18.38,6.81,8.792,7.94,9.46,9.98,10.48,15.18,9.24,18.27,10.308,6.86,11.83,8.44,19.86,8.67,16.05,17.05,8.371,19.84
2016-05-16,4.603,5.569,19.47,6.83,8.9,9.26,10.54,13.3,8.766,15.64,25.42,19.94,9.52,5.91,9.24,7.53,2.67,11.72,9.9317,13.019,18.88,9.62,8.7,9.55,9.096,11.38,20.73,10.3519,9.9685,38.03,22.46,11.2883,10.6033,10.0047,14.9858,16.1225,11.8879,8.476,10.6363,9.4046,8.3266,22.83,11.0293,11.2473,9.66,10.9237,12.02,27.09,25.27,49.0,11.033,17.098,59.46,27.65,20.07,14.51,10.42,50.21,18.82,6.84,8.841,7.95,9.54,10.04,10.4,15.24,9.31,18.27,10.235,6.85,11.78,8.45,20.07,8.61,16.15,17.24,8.306,20.23
2016-05-17,4.526,5.594,19.64,6.81,8.9,9.24,10.58,13.32,8.77,15.74,25.36,19.74,9.61,5.89,9.33,7.5,2.68,11.72,9.909,13.116,18.98,9.62,8.76,9.53,9.185,11.57,20.89,10.3471,9.9639,38.56,22.84,11.3303,10.6041,10.0047,14.9859,16.1226,11.888,8.494,10.609,9.3934,8.3167,23.03,11.0472,11.2655,9.65,10.9017,12.12,27.36,25.52,49.3,11.0763,17.266,59.98,27.91,20.06,14.47,10.67,51.24,19.02,6.97,8.82,7.96,9.5,10.0,10.46,15.47,9.27,18.6,10.303,6.89,11.83,8.5,19.87,8.65,16.19,17.55,8.275,19.84
2016-05-18,4.417,5.615,19.67,6.73,8.78,9.09,10.51,13.23,8.607,15.5,25.42,19.76,9.61,5.84,9.29,7.44,2.67,11.68,9.932,13.031,19.0,9.5,8.72,9.39,9.104,11.55,20.89,10.349,9.9657,38.78,22.96,11.2531,10.605,10.0049,14.986,16.1227,11.8881,8.456,10.5869,9.3238,8.2551,23.09,10.947,11.1633,9.62,10.8778,12.15,27.44,25.55,49.38,10.9507,17.303,60.13,27.98,20.2,14.41,10.75,51.37,19.0,7.02,8.787,7.96,9.48,9.96,10.45,15.51,9.25,18.66,10.248,6.85,11.79,8.45,19.94,8.62,16.22,17.53,8.228,19.85
2016-05-19,4.4,5.552,19.71,6.79,8.79,9.15,10.52,13.27,8.636,15.48,25.36,19.94,9.66,5.82,9.19,7.41,2.66,11.59,9.9616,12.963,18.81,9.54,8.68,9.48,9.03,11.45,20.72,10.3311,9.9485,38.32,22.62,11.046,10.6058,10.005,14.9861,16.1229,11.8882,8.338,10.6259,9.3117,8.2443,22.88,10.8038,11.0173,9.52,10.9377,12.08,27.2,25.4,49.27,10.7755,17.166,59.66,27.76,20.22,14.41,10.57,51.02,18.95,6.93,8.744,7.83,9.46,9.94,10.41,15.39,9.24,18.46,10.227,6.82,11.8,8.41,19.89,8.63,16.26,17.23,8.107,19.81
2016-05-20,4.415,5.546,19.59,6.75,8.89,9.24,10.69,13.28,8.74,15.55,25.44,19.76,9.7,5.83,9.27,7.42,2.67,11.63,9.9465,13.047,18.92,9.57,8.69,9.49,9.102,11.46,20.78,10.331,9.9484,38.53,22.72,10.9839,10.6066,10.0051,14.9862,16.123,11.8883,8.289,10.6075,9.2774,8.214,23.0,10.7246,10.9366,9.46,10.9197,12.11,27.28,25.56,49.31,10.7128,17.252,60.0,27.93,20.05,14.41,10.63,51.33,18.87,6.98,8.8,7.81,9.51,9.98,10.44,15.45,9.28,18.5,10.26,6.87,11.82,8.48,19.98,8.65,16.24,17.52,8.099,20.01
2016-05-23,4.312,5.499,19.63,6.8,8.97,9.3,10.6,13.22,8.816,15.63,25.37,19.18,9.64,5.8,9.34,7.39,2.66,11.61,9.9175,13.117,19.63,9.72,8.72,9.62,9.178,11.82,21.37,10.3239,9.9416,39.68,23.37,11.0119,10.6091,10.0053,14.9866,16.1233,11.8886,8.235,10.5725,9.2591,8.1978,23.59,10.7238,10.9358,9.36,10.8937,12.4,27.99,26.4,50.17,10.7435,17.714,61.83,28.8,20.06,14.37,10.89,52.71,18.78,7.16,8.765,7.8,9.44,9.94,10.46,15.79,9.22,19.02,10.278,6.85,11.81,8.44,19.91,8.63,16.19,18.57,8.184,19.89
2016-05-24,4.328,5.509,19.35,6.75,8.89,9.23,10.59,13.15,8.732,15.54,25.21,19.31,9.59,5.82,9.32,7.42,2.65,11.65,9.9371,13.105,19.57,9.66,8.72,9.57,9.152,11.73,21.36,10.3263,9.9439,39.34,23.21,10.9787,10.6099,10.0055,14.9867,16.1235,11.8886,8.242,10.5886,9.2473,8.1873,23.49,10.7053,10.9169,9.35,10.9084,12.31,27.86,26.21,50.24,10.704,17.608,61.32,28.55,20.09,14.4,10.83,52.54,18.95,7.13,8.838,7.67,9.54,10.02,10.36,15.74,9.31,18.99,10.176,6.83,11.71,8.42,20.22,8.57,16.07,18.29,8.125,20.49
2016-05-25,4.317,5.556,19.22,6.67,8.87,9.19,10.6,13.16,8.718,15.59,25.19,19.08,9.69,5.84,9.53,7.44,2.65,11.73,9.9164,13.369,19.79,9.59,8.84,9.48,9.355,11.85,21.53,10.3285,9.946,39.51,23.32,11.0205,10.6107,10.0056,14.9868,16.1236,11.8887,8.43,10.5691,9.2447,8.1851,23.71,10.7245,10.9365,9.53,10.8874,12.47,27.87,26.57,50.34,10.7455,17.815,62.2,28.97,20.02,14.42,10.96,52.76,19.26,7.17,8.929,7.63,9.62,10.06,10.35,15.86,9.39,19.13,10.164,6.83,11.68,8.42,20.31,8.54,16.18,18.74,8.264,20.7
2016-05-26,,,19.19,6.69,8.89,9.2,10.61,13.12,8.746,15.57,25.18,19.08,9.61,5.85,9.53,7.45,2.65,11.74,9.8933,13.354,19.74,9.62,8.86,9.5,9.367,11.88,21.66,10.3238,9.9415,39.6,23.38,11.064,10.6115,10.0056,14.9869,16.1237,11.8888,8.568,10.5509,9.2649,8.2029,23.86,10.7532,10.9658,9.66,10.8744,12.44,28.08,26.63,50.28,10.7994,17.815,62.14,28.97,19.95,14.42,11.02,52.82,19.24,7.22,8.933,,9.6,10.06,10.36,15.9,9.37,19.17,10.183,6.83,11.67,8.42,20.25,8.53,16.17,18.74,8.3,20.7
2016-05-27,4.243,5.591,19.12,6.62,8.9,9.17,10.7,13.16,8.73,15.57,25.15,18.9,9.68,5.84,9.63,7.44,2.67,11.75,9.8788,13.43,19.96,9.57,8.93,9.41,9.433,11.98,21.8,10.3343,9.9516,39.9,23.47,11.0902,10.6123,10.0057,14.987,16.1238,11.8889,8.658,10.5169,9.2163,8.1599,24.01,10.733,10.9452,9.77,10.8292,12.61,28.3,26.86,50.79,10.7951,17.955,62.73,29.24,19.87,14.4,11.07,53.03,,7.26,8.947,7.57,9.6,10.05,10.39,16.04,9.37,19.37,10.183,6.83,11.66,8.43,20.32,8.52,16.14,19.09,8.344,20.84
2016-05-30,4.296,,,6.62,8.9,9.19,10.71,13.18,8.708,15.61,25.34,18.79,9.81,5.86,9.68,7.47,2.67,11.83,,13.546,20.22,9.59,8.97,9.46,9.471,12.1,22.01,10.3362,9.9534,40.33,23.73,11.0649,10.6147,,14.9874,16.1242,11.8892,8.718,10.5462,9.228,8.1702,24.24,10.7364,10.9486,9.82,10.8597,12.74,28.73,27.05,51.22,10.7482,18.1,63.3,29.52,19.93,,11.17,53.52,19.23,7.37,,,,,10.42,16.31,,19.57,10.195,,11.72,,,8.57,16.23,19.32,8.381,
